department,province,district,ubigeo,population,population_permanent,idh,monetary_poverty,life_expectancy,complete_secondary_edu,years_edu,edu_achievement,family_income,hh_1_nbi_or_more,hh_inadequate_char,overcrowded_hh,hh_wo_sanitation,hh_school_absence,hh_high_economic_dependence,aai,co,ntl,no2,o3,pm25,so2,tmmn,tmmx,new_cases
LIMA,LIMA,LIMA,150101,268352,257461,0.746010874,0.07958984,0.9480573981666666,0.782691556,0.6527535211267605,0.7866688025360907,0.6126760539553753,0.07116252462975911,0.00669929447657789,0.05395029555710926,4.195004131443462e-4,0.01076717727070488,0.00312718489798512,0.5883482,0.040862425,100.576536,2.1455833333333332e-4,0.11820795,40.5789471676475,6.096416666666667e-4,15.689011608333333,23.69751705,335
LIMA,LIMA,ANCON,150102,62928,59255,0.656473404,0.19246935,0.8898521410000001,0.724031961,0.5168661971830987,0.6781847035829609,0.519715445030426,0.2042511745158703,0.12988426721668386,0.06027271685573508,0.01140139796035292,0.01357854932966655,0.00693250830755127,0.3983454333333334,0.03926745,3.8777244,1.2451666666666667e-4,0.11799671666666668,38.0371648050359,9.157416666666666e-4,13.717980791666664,23.308822858333333,47
LIMA,LIMA,ATE,150103,599196,579105,0.700430248,0.17174936,0.9337706831666668,0.766107408,0.5660915492957747,0.7270486178521987,0.5588127127789047,0.15927508561384368,0.06852744188865655,0.07487953450313665,0.01255265630208806,0.0143891868957784,0.00679455708094675,0.569524725,0.04234041666666666,56.5214991,2.919e-4,0.118380325,39.4915491023534,7.5595e-4,13.726990775,23.972067391666663,737
LIMA,LIMA,BARRANCO,150104,34378,32895,0.801234733,0.03172325,0.9445979883333334,0.786570743,0.7417112676056338,0.8370298509040454,0.7129284628803245,0.03110568964014986,0.00331096976561819,0.02361244227585606,0,0.00496645464842729,7.841770497516772e-4,0.42171248333333333,0.04020968333333333,87.8551749,1.7026666666666667e-4,0.11817757500000001,39.6999988555908,6.859416666666667e-4,15.65,23.366666666666667,16
LIMA,LIMA,BREÑA,150105,85309,81222,0.785999689,0.04041467,0.9401354318333331,0.792611895,0.69999295774647885,0.8112263442537342,0.6934251257606491,0.05240448733035224,0.0051384639523025,0.04099003687142073,0,0.00662901074762689,0.00109829763866007,0.5370836999999999,0.04034134166666667,91.9967698,2.039083333333333e-4,0.1182974,41.8500003814697,5.986583333333333e-4,15.822365283333331,23.561444933333338,58
LIMA,LIMA,CARABAYLLO,150106,333045,320618,0.662879143,0.19176021,0.9129094821666668,0.744076833,0.5386971830985916,0.7012715354747955,0.5039577200811359,0.18176793671629415,0.09055004778518544,0.0769283913088535,0.01416283809458012,0.0141513235920642,0.00777228919824519,0.5461050333333334,0.04161695833333333,11.9972611,2.2435e-4,0.11789245833333334,36.5385214215587,7.4335e-4,13.0197115,23.366497183333333,339
LIMA,LIMA,CHACLACAYO,150107,42912,41235,0.727064248,0.09712625,0.9627281746666666,0.780766852,0.6313380281690141,0.779619719771638,0.5686211744421906,0.08955755363660643,0.01335351197364907,0.05252381376301967,0.01157304371049586,0.01094987981839223,0.00676577939998219,0.21910013333333336,0.04022598333333333,13.4188745,2.590166666666667e-4,0.11752589166666666,34.0805557039049,7.531916666666667e-4,12.291821325,23.688009191666666,56
LIMA,LIMA,CHORRILLOS,150108,314241,304295,0.738221736,0.1160839,0.935828535,0.770687263,0.6205281690140845,0.7620419721607748,0.6216477419878296,0.10578649857175572,0.0370740879123528,0.05727440369294556,0.00341091250949149,0.01163085007653461,0.00444744422615675,0.453751625,0.040154675,65.4445129,1.5245e-4,0.11802718333333334,37.2727272149288,7.39975e-4,15.714270875,23.445108175,301
LIMA,LIMA,CIENEGUILLA,150109,34684,32697,0.650977805,0.17529394,0.8833725448333333,0.699186992,0.5178098591549297,0.6763275929765694,0.5190065273833672,0.22924243998752988,0.1387301257404136,0.08043229762028474,0.02275797568325886,0.01205445287332432,0.00644289722539748,0.38395593333333333,0.03932490833333333,4.4912043,2.0155e-4,0.11816713333333334,33.6091396680442,7.735666666666667e-4,12.788961208333331,23.841231491666665,20
LIMA,LIMA,COMAS,150110,520450,504617,0.7081597,0.16044523,0.943867193,0.782665066,0.582894366197183,0.7417377361561492,0.5570572486815415,0.12953000919186897,0.04477645676054428,0.06841161490589635,0.00882268734083751,0.01457137260220303,0.00718774015641245,0.6887768166666667,0.04389438333333333,59.7083674,2.5898333333333333e-4,0.11781645833333332,39.4236841703716,7.866416666666667e-4,15.022026775,23.663704766666665,570
LIMA,LIMA,EL AGUSTINO,150111,198862,191624,0.70122061,0.16689837,0.9863923353333334,0.738624843,0.5541760563380282,0.7393476951996839,0.5463594937119675,0.11138585171734344,0.01682571572074334,0.07839122203763088,7.340725572769772e-4,0.01545415910056794,0.00708959548738554,0.774392025,0.04250716666666666,73.8306034,2.7148333333333336e-4,0.11846151666666668,41.8461541395921,7.208333333333333e-4,14.9712238,24.048826,326
LIMA,LIMA,INDEPENDENCIA,150112,211360,204990,0.697405438,0.20590949,0.941299514,0.766261415,0.5536901408450704,0.7219336953516273,0.553230709127789,0.1605731862302691,0.06312047593612437,0.08476230821652883,0.01232203046433242,0.01333505240086199,0.00972501059068388,0.6668544666666667,0.042466225,67.3047678,2.41825e-4,0.117975125,39.7692307692308,5.71675e-4,15.46387595,23.712539866666667,270
